epoch,step,train_cls_loss_epoch,train_cls_loss_step,train_loss_epoch,train_loss_step,train_mode_0_l2_dist_epoch,train_mode_0_l2_dist_step,train_mode_0_pinn_loss_epoch,train_mode_0_pinn_loss_step,train_mode_0_reg_nll_epoch,train_mode_0_reg_nll_step,train_mode_1_l2_dist_epoch,train_mode_1_l2_dist_step,train_mode_1_pinn_loss_epoch,train_mode_1_pinn_loss_step,train_mode_1_reg_nll_epoch,train_mode_1_reg_nll_step,train_mode_2_l2_dist_epoch,train_mode_2_l2_dist_step,train_mode_2_pinn_loss_epoch,train_mode_2_pinn_loss_step,train_mode_2_reg_nll_epoch,train_mode_2_reg_nll_step,train_mode_3_l2_dist_epoch,train_mode_3_l2_dist_step,train_mode_3_pinn_loss_epoch,train_mode_3_pinn_loss_step,train_mode_3_reg_nll_epoch,train_mode_3_reg_nll_step,train_mode_4_l2_dist_epoch,train_mode_4_l2_dist_step,train_mode_4_pinn_loss_epoch,train_mode_4_pinn_loss_step,train_mode_4_reg_nll_epoch,train_mode_4_reg_nll_step,train_mode_5_l2_dist_epoch,train_mode_5_l2_dist_step,train_mode_5_pinn_loss_epoch,train_mode_5_pinn_loss_step,train_mode_5_reg_nll_epoch,train_mode_5_reg_nll_step,train_pinn_loss_epoch,train_pinn_loss_step,train_reg_loss_prop_epoch,train_reg_loss_prop_over_epoch,train_reg_loss_prop_over_step,train_reg_loss_prop_step,val_Brier,val_MR,val_cls_loss,val_loss,val_minADE,val_minFDE,val_mode_0_l2_dist,val_mode_0_pinn_loss,val_mode_0_reg_nll,val_mode_1_l2_dist,val_mode_1_pinn_loss,val_mode_1_reg_nll,val_mode_2_l2_dist,val_mode_2_pinn_loss,val_mode_2_reg_nll,val_mode_3_l2_dist,val_mode_3_pinn_loss,val_mode_3_reg_nll,val_mode_4_l2_dist,val_mode_4_pinn_loss,val_mode_4_reg_nll,val_mode_5_l2_dist,val_mode_5_pinn_loss,val_mode_5_reg_nll,val_pinn_loss,val_reg_loss_prop,val_reg_loss_prop_over
0,9,,11.690749168395996,,31.819110870361328,,7.220752239227295,,0.5586491227149963,,9.774727821350098,,7.199580192565918,,0.5578441023826599,,9.77588176727295,,7.191097736358643,,0.5581033229827881,,9.77778148651123,,7.189352035522461,,0.5579586625099182,,9.775708198547363,,7.206450939178467,,0.5576211810112,,9.775879859924316,,7.182833671569824,,0.5578002333641052,,9.774580955505371,,0.5579962134361267,,,10.365640640258789,9.76272201538086,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19,,11.266045570373535,,30.407413482666016,,8.163914680480957,,0.5406961441040039,,9.421232223510742,,8.172362327575684,,0.5403071045875549,,9.421542167663574,,8.156356811523438,,0.5408408045768738,,9.42126750946045,,8.148589134216309,,0.5404183268547058,,9.420172691345215,,8.180878639221191,,0.540330171585083,,9.422484397888184,,8.153964042663574,,0.5405005812644958,,9.421260833740234,,0.5405155420303345,,,9.735587120056152,9.405781745910645,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,,11.085945129394531,,30.253074645996094,,8.500384330749512,,0.5173601508140564,,9.122586250305176,,8.495874404907227,,0.51723313331604,,9.121748924255371,,8.509299278259277,,0.5179708003997803,,9.123807907104492,,8.493708610534668,,0.5176436901092529,,9.12217903137207,,8.500543594360352,,0.5172755718231201,,9.12249755859375,,8.511078834533691,,0.5175878405570984,,9.122457504272461,,0.5175119042396545,,,10.066153526306152,9.100976943969727,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,39,,10.452085494995117,,27.088796615600586,,6.5924296379089355,,0.493547648191452,,8.541297912597656,,6.58135986328125,,0.4931831359863281,,8.539054870605469,,6.591055393218994,,0.49376052618026733,,8.540349960327148,,6.6409430503845215,,0.49224787950515747,,8.545215606689453,,6.610536098480225,,0.4931468665599823,,8.541145324707031,,6.60064697265625,,0.4932788014411926,,8.541206359863281,,0.4931941628456116,,,8.13154125213623,8.505170822143555,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,,10.16210651397705,,26.683521270751953,,6.772616386413574,,0.5186449885368347,,8.346854209899902,,6.669088840484619,,0.5182756185531616,,8.3341064453125,,6.708786487579346,,0.5186939835548401,,8.342039108276367,,6.711227893829346,,0.5186323523521423,,8.341379165649414,,6.759580135345459,,0.5190983414649963,,8.34745979309082,,6.7264556884765625,,0.5185161232948303,,8.340590476989746,,0.5186435580253601,,,8.252246856689453,8.269169807434082,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,59,,9.391552925109863,,22.887920379638672,,4.358397483825684,,0.49494031071662903,,7.70890474319458,,4.345249176025391,,0.49536386132240295,,7.708430290222168,,4.494886875152588,,0.49771401286125183,,7.72621488571167,,4.343931674957275,,0.49665361642837524,,7.707431316375732,,4.552062511444092,,0.4962030351161957,,7.737139701843262,,4.519516468048096,,0.49640601873397827,,7.733249187469482,,0.49621349573135376,,,5.87867546081543,7.617690563201904,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,69,,9.299173355102539,,22.455232620239258,,5.760024070739746,,0.47495579719543457,,7.586709499359131,,6.0494771003723145,,0.47401174902915955,,7.638221740722656,,5.509145736694336,,0.4764292538166046,,7.553719520568848,,5.830265522003174,,0.4748304486274719,,7.604134559631348,,5.897522449493408,,0.47408434748649597,,7.616917610168457,,5.736871719360352,,0.47416913509368896,,7.586410999298096,,0.4747467339038849,,,5.847970485687256,7.308088779449463,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,79,,9.297913551330566,,21.628353118896484,,8.030271530151367,,0.4351844787597656,,7.781985759735107,,8.056775093078613,,0.43653127551078796,,7.7611260414123535,,7.352283954620361,,0.4376813769340515,,7.675181865692139,,8.063396453857422,,0.43616408109664917,,7.778280735015869,,8.0525541305542,,0.43770480155944824,,7.761061191558838,,7.346041679382324,,0.43735581636428833,,7.636139392852783,,0.4367702901363373,,,5.418909072875977,6.911531925201416,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,89,,8.244542121887207,,18.60369110107422,,4.256704807281494,,0.4079921543598175,,6.743401527404785,,3.855029344558716,,0.40944451093673706,,6.645204067230225,,4.297092914581299,,0.4095776677131653,,6.740222454071045,,4.432872295379639,,0.408096581697464,,6.778158187866211,,3.986441135406494,,0.4106460213661194,,6.66749906539917,,4.787171363830566,,0.41060781478881836,,6.856268882751465,,0.4093940854072571,,,4.2344841957092285,6.124665260314941,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,99,,8.378479957580566,,18.749961853027344,,6.764103412628174,,0.36663538217544556,,7.199103355407715,,6.748775482177734,,0.3706566095352173,,7.205910682678223,,6.155460357666016,,0.3680008351802826,,7.076333999633789,,6.192659854888916,,0.3703473210334778,,7.074759483337402,,6.412931442260742,,0.36582228541374207,,7.134419918060303,,6.1783881187438965,,0.37011322379112244,,7.079797744750977,,0.3685958981513977,,,4.380133628845215,5.991349697113037,,,,,,,,,,,,,,,,,,,,,,,,,,,
