Epoch,val_Brier,val_MR,val_cls_loss,val_data_loss,val_loss,val_minADE,val_minFDE,val_mode_0_l2_dist,val_mode_0_pinn_loss,val_mode_0_reg_nll,val_mode_1_l2_dist,val_mode_1_pinn_loss,val_mode_1_reg_nll,val_mode_2_l2_dist,val_mode_2_pinn_loss,val_mode_2_reg_nll,val_mode_3_l2_dist,val_mode_3_pinn_loss,val_mode_3_reg_nll,val_mode_4_l2_dist,val_mode_4_pinn_loss,val_mode_4_reg_nll,val_mode_5_l2_dist,val_mode_5_pinn_loss,val_mode_5_reg_nll,val_pinn_loss,val_reg_loss_prop,val_reg_loss_prop_over
11,0.638292134,0.240915641,0.583321989,-1.277508855,-1.276926637,0.938424647,1.677282572,1.347582579,0.000894812,1.315161586,2.006844759,0.001023335,2.346112013,1.304460168,0.000287186,1.301566601,1.227066398,0.000453056,1.104646444,1.996581435,0.000257027,2.170623541,3.467175484,0.000574816,3.53476429,0.000581705,-1.109353185,-0.751476824
12,0.624187291,0.225068033,0.556160569,-1.367697597,-1.366978288,0.904297173,1.573953986,1.319800258,0.001272261,1.281901836,1.817421317,0.001156574,2.009746075,1.357835412,0.000340198,1.256252885,1.253064275,0.000522658,1.12485373,2.158448935,0.000314508,2.14491868,2.978358269,0.000710873,2.888333797,0.000719511,-1.140078187,-0.783778787
13,0.616399646,0.236473501,0.521570742,-1.442129135,-1.441329479,0.917367339,1.636003137,1.220221639,0.001471952,1.1336658,1.535961747,0.001610831,1.584441423,1.584981084,0.000311717,1.606118917,1.256575346,0.000481909,1.111916304,2.619408131,0.000326378,2.562460184,2.384577751,0.000596752,2.334452629,0.000799922,-1.160067201,-0.803632081
14,0.629941523,0.22534816,0.530895472,-1.41622889,-1.41560483,0.898718715,1.597114921,1.267854929,0.001134578,1.304704428,1.85054028,0.001068947,2.221730232,1.358681083,0.0003012,1.373241544,1.164078236,0.00040976,1.095886469,2.357007504,0.00030039,2.349254131,2.901420116,0.000533268,2.981767178,0.00062469,-1.155327797,-0.791796148
15,0.629434764,0.221346244,0.509152114,-1.471242189,-1.470574737,0.886256099,1.563027382,1.357852221,0.001585485,1.430494189,1.815316081,0.00089028,2.078583479,1.292780042,0.000280632,1.156476617,1.176497221,0.000424124,1.053139806,2.09362936,0.00026874,1.915322423,2.977845192,0.000548246,2.987317085,0.000666251,-1.168222547,-0.812170804
16,0.627604783,0.227189049,0.488762379,-1.532858133,-1.532202363,0.902503848,1.602542043,1.221560121,0.001017345,1.026531458,1.643746614,0.001408083,1.637129307,1.432758808,0.000296117,1.488815904,1.172813773,0.000407188,1.003701806,2.363280535,0.000254963,2.658745527,2.658001661,0.000559752,2.478230953,0.000657242,-1.1862818,-0.835341036
17,0.628463984,0.218664959,0.481056839,-1.549520373,-1.548716784,0.876672506,1.548982143,1.24168992,0.001265199,1.089707613,1.672390699,0.001609089,1.615790129,1.383245349,0.000376063,1.398434401,1.144361496,0.000500804,0.950558364,2.249871969,0.000344753,2.322597265,2.584659815,0.000721871,2.295983315,0.000802963,-1.194472075,-0.836105704
18,0.609005749,0.227869377,0.474590033,-1.554472446,-1.553838015,0.887660086,1.556194782,1.246089101,0.001191415,1.011029005,1.737803698,0.001193171,1.716404557,1.521875024,0.000262274,1.484396219,1.174019933,0.000373198,0.842086256,2.70121336,0.000247328,2.911106825,2.819185495,0.000533107,2.542279482,0.000633416,-1.195426226,-0.833635509
19,0.633135676,0.21234192,0.482854664,-1.553861022,-1.553140044,0.876733124,1.537757635,1.313117504,0.001463195,1.239211798,1.793244839,0.00109877,1.942496896,1.299233079,0.000349441,1.221016526,1.167753577,0.000528479,1.017407298,2.079262018,0.000286526,2.047363758,2.893780947,0.000589132,2.688358784,0.000719258,-1.195818543,-0.840895653
20,0.630630076,0.209300458,0.444123179,-1.637488961,-1.63674593,0.880765259,1.543622017,1.217354536,0.001364377,1.140864253,1.535162807,0.001439983,1.553286314,1.397448063,0.000313061,1.534974813,1.134532571,0.000443933,1.060733318,2.287320137,0.0003144,2.437180519,2.347733974,0.000577205,2.222851276,0.000742159,-1.217278719,-0.864333689
21,0.616737723,0.213382423,0.485805929,-1.567116857,-1.566396594,0.870382607,1.532423019,1.287674546,0.001475723,1.036676645,1.76048851,0.001144216,1.642802238,1.43201828,0.000332442,1.294534564,1.179968834,0.000480041,0.909267724,2.239501715,0.00031419,1.980540395,2.801005363,0.00057308,2.494403362,0.000719949,-1.206125021,-0.846797347
22,0.6231969,0.209980786,0.504419208,-1.544898391,-1.544131994,0.865495622,1.512759447,1.450451016,0.001420433,1.457490683,2.067708969,0.001193328,2.253836155,1.222594261,0.000409666,1.03042841,1.145700574,0.000535342,0.922622383,1.870651364,0.000369465,1.717371106,3.466984987,0.000662015,3.302055359,0.000765041,-1.204217911,-0.845098913
23,0.630598545,0.211021289,0.449754506,-1.642157316,-1.641442537,0.860955358,1.516762376,1.289907217,0.001222109,1.179897904,1.872624516,0.001204516,1.970263958,1.165198207,0.000375008,0.950757086,1.052857518,0.000502293,0.79632777,1.880594254,0.000346306,1.737109184,3.084399939,0.000623508,2.940839052,0.000712289,-1.226309299,-0.865599573
24,0.622509837,0.210661113,0.45087117,-1.642819285,-1.642098308,0.86003983,1.496907592,1.326626301,0.001320127,1.290499091,1.946575403,0.001244803,2.142278671,1.179063082,0.000363437,0.890055954,1.081277966,0.000494775,0.795500696,1.880941749,0.000341588,1.607533455,3.218505144,0.000564801,3.056204557,0.000721588,-1.226185799,-0.8675071
25,0.632692158,0.199375704,0.411331654,-1.72668016,-1.726041317,0.855280459,1.481405139,1.156253576,0.001084156,0.96234417,1.531701207,0.001005861,1.444151759,1.342550397,0.000376432,1.311421633,1.065984607,0.000448821,0.833303094,2.218747139,0.000352961,2.254299879,2.397821665,0.000548251,2.201966047,0.00063608,-1.244721055,-0.893290639
26,0.628802001,0.198655352,0.411485374,-1.730623364,-1.729978085,0.849683523,1.470073938,1.231999278,0.001109006,1.120588064,1.661366105,0.001120186,1.741369605,1.323380947,0.000348553,1.254646659,1.097143173,0.000426631,0.883603215,2.125703573,0.000310996,2.086351871,2.685255289,0.000563998,2.670059204,0.000646562,-1.249090314,-0.893019676
27,0.6274966,0.201536745,0.404597759,-1.750516176,-1.749888897,0.850310802,1.467671633,1.155118108,0.001056944,0.995443583,1.511045098,0.00111408,1.46765995,1.375323892,0.000341106,1.49408257,1.080358863,0.000410199,0.954765379,2.214656115,0.000325218,2.347103596,2.46679163,0.000516904,2.243875742,0.000627408,-1.254843354,-0.900271177
28,0.624766827,0.202217057,0.434576929,-1.678757191,-1.677875996,0.850533664,1.462784529,1.373745322,0.001753993,1.440406442,1.940614462,0.001366662,2.435049057,1.187174916,0.000460762,0.990718663,1.077279568,0.000597551,0.854289591,1.936836362,0.000414101,1.893734336,3.089889288,0.000700694,3.32596302,0.000882294,-1.236291647,-0.877043068
29,0.624254107,0.205578685,0.402062446,-1.761332035,-1.76068604,0.846476078,1.461667895,1.228924155,0.001115051,1.186971664,1.673538923,0.000995386,1.848780513,1.322655678,0.000390137,1.272755861,1.084876418,0.000459403,0.912598073,2.17488718,0.000349222,2.181592703,2.669736385,0.000553495,2.649808407,0.000643783,-1.259881258,-0.903511047
