Epoch,val_Brier,val_MR,val_cls_loss,val_loss,val_minADE,val_minFDE,val_mode_0_l2_dist,val_mode_0_pinn_loss,val_mode_0_reg_nll,val_mode_1_l2_dist,val_mode_1_pinn_loss,val_mode_1_reg_nll,val_mode_2_l2_dist,val_mode_2_pinn_loss,val_mode_2_reg_nll,val_mode_3_l2_dist,val_mode_3_pinn_loss,val_mode_3_reg_nll,val_mode_4_l2_dist,val_mode_4_pinn_loss,val_mode_4_reg_nll,val_mode_5_l2_dist,val_mode_5_pinn_loss,val_mode_5_reg_nll,val_pinn_loss,val_reg_loss_prop,val_reg_loss_prop_over
11,0.629669368,0.24419722,0.578948736,-1.302574396,0.946043849,1.702883363,1.494346857,0.000680712,1.68797183,1.345695496,0.002646166,1.223641038,2.328371286,0.000912676,2.383500814,1.245257139,0.001107897,1.269658923,2.545679092,0.002039701,2.32114315,1.549101114,0.002051612,1.698875785,0.001573126,-1.119445801,-0.762077808
12,0.630335271,0.22662878,0.537016094,-1.440331221,0.902149498,1.592593312,1.354314089,0.000646408,1.184345245,1.325269103,0.002049402,1.158448815,2.265825748,0.000919805,2.220174551,1.151125073,0.000966181,0.886006117,2.806353569,0.001847816,2.730650187,1.655110598,0.001723315,1.850913286,0.001358821,-1.165592551,-0.811756074
13,0.621672094,0.240235314,0.590345562,-1.325095057,0.903286338,1.614405036,1.272865891,0.000736416,0.9770841,1.533081055,0.002559316,1.375072241,2.175273895,0.000881439,2.182567358,1.165426016,0.001289736,0.847527027,3.595516205,0.002308397,3.524987698,2.06684041,0.002212308,2.496593475,0.001664602,-1.138375044,-0.7770648
14,0.626252413,0.230070427,0.513456702,-1.490617156,0.901696801,1.601736665,1.493879914,0.00059368,1.478635192,1.266950607,0.002285577,1.041541696,2.572788239,0.000758667,2.652059793,1.173773766,0.000887601,0.954911768,2.570544243,0.001773679,2.418885231,1.542945027,0.001687509,1.638372779,0.00133112,-1.181809187,-0.822266161
15,0.629089952,0.233952299,0.50385499,-1.491655111,0.905931354,1.59766376,1.411949754,0.000662085,1.49184072,1.322696447,0.002154,0.936852872,2.475127697,0.000889981,2.781270742,1.147577286,0.001070716,0.912254274,3.087414265,0.002074511,2.701249361,1.670608878,0.001830091,1.663922548,0.001446897,-1.179276109,-0.816231847
16,0.631672919,0.215543464,0.497576833,-1.542215943,0.885190666,1.554199934,1.354171038,0.00065441,1.238420129,1.264105558,0.001620453,0.987444222,2.233550787,0.000811797,2.299710274,1.149667025,0.001145509,0.914877832,2.706983805,0.001896654,2.416076183,1.583958864,0.001996759,1.644918799,0.001354262,-1.196852207,-0.842940092
17,0.630582035,0.214823112,0.469746888,-1.583733797,0.881106853,1.546343684,1.289833784,0.000621997,1.103234291,1.349194527,0.002295536,1.35665226,2.133178234,0.000724763,2.182813644,1.123014808,0.001071201,0.915438235,2.884652138,0.001718746,2.990165234,1.695102572,0.001829085,2.126949787,0.001376887,-1.205994248,-0.847487807
18,0.631909668,0.226828873,0.500528932,-1.559358358,0.885010898,1.584925413,1.200494885,0.000621927,0.966540039,1.395005345,0.002208739,1.202392459,2.125729322,0.000849988,2.166160107,1.062881231,0.000864457,0.708612919,3.173711538,0.001681068,3.027777433,1.808462262,0.001554445,2.04034853,0.00129677,-1.212081909,-0.847806156
19,0.627759695,0.21274212,0.47522974,-1.583380342,0.869914293,1.51697731,1.347662091,0.000546687,1.37706244,1.286159873,0.001609353,1.207462788,2.253133059,0.000636926,2.209793806,1.119334936,0.000864488,1.007873178,2.798392296,0.001491347,2.803751469,1.605422378,0.001663116,1.905748248,0.001135319,-1.208585978,-0.85002315
20,0.632468879,0.212021768,0.448547214,-1.647784352,0.866403222,1.515025139,1.349449754,0.00063671,1.191809058,1.302615166,0.001874773,1.092614055,2.313822746,0.000791167,2.364106417,1.129008889,0.001341553,0.85410738,2.813592911,0.001719179,2.707762241,1.613724947,0.001738332,1.710014582,0.001350285,-1.231018305,-0.865311027
21,0.625063241,0.208059862,0.463689595,-1.636534452,0.856748164,1.501310468,1.33519423,0.000645425,1.180992246,1.388585925,0.002638479,1.315105915,2.277341604,0.000853886,2.23093605,1.131965041,0.000963184,0.935500443,2.90329957,0.001757798,2.872523069,1.692485929,0.001445898,2.007595778,0.001384111,-1.232745886,-0.867475986
22,0.631142974,0.216063708,0.453806758,-1.657210469,0.867785454,1.538289905,1.166079402,0.000666892,0.896705508,1.375941992,0.002133427,1.193135977,1.932726026,0.00080428,1.872910976,1.097680569,0.001403386,0.805133402,3.17156744,0.001750806,3.11442709,1.845363855,0.001922387,2.133653641,0.001446864,-1.236439705,-0.87457782
23,0.611788452,0.213742599,0.432441831,-1.709511757,0.86548692,1.521946907,1.410374522,0.000776392,1.268316507,1.289837718,0.003029239,0.95117414,2.486078024,0.001001523,2.463947773,1.118984103,0.00146698,0.775424421,2.645299673,0.001984418,2.440729618,1.520913124,0.001722793,1.473381162,0.001663557,-1.251352906,-0.890602946
24,0.635698795,0.205738753,0.424577832,-1.740197897,0.855276644,1.493607879,1.267026186,0.000678646,1.154691219,1.292936325,0.002818845,1.045934319,2.102399826,0.000943883,2.129978895,1.107756376,0.001515353,0.927571952,2.608131647,0.001890619,2.43311429,1.505427718,0.001572633,1.52096355,0.001569996,-1.260148406,-0.9046278
25,0.625566721,0.206699222,0.416511208,-1.742235184,0.844331324,1.471560001,1.296634316,0.000601848,1.204361916,1.317072868,0.00189492,1.171514273,2.040937185,0.000712007,1.952272058,1.136879683,0.001239283,1.017613173,2.842206478,0.001749455,2.696934462,1.619087458,0.001337985,1.794359446,0.001255916,-1.259987116,-0.898758888
26,0.631197333,0.199895948,0.421894193,-1.734347343,0.841828287,1.477248311,1.246855855,0.00067589,1.178384781,1.384670138,0.003765966,1.340761185,2.008944988,0.00091541,2.071658134,1.08437717,0.00121822,0.883178711,2.781040192,0.001932358,2.88029623,1.62568748,0.00125022,1.909188032,0.001626342,-1.259998202,-0.896245062
27,0.6310215,0.202617258,0.414215267,-1.771072626,0.834755003,1.464729905,1.259542108,0.0008137,1.004259586,1.353614211,0.002880873,1.080606699,2.054748058,0.001051553,1.9971838,1.133713245,0.002597574,0.829283237,2.932722092,0.00203766,2.744600296,1.669888377,0.001679593,1.735768914,0.001843491,-1.27275002,-0.912538946
28,0.634587705,0.202056989,0.413669229,-1.768195748,0.841144681,1.471114874,1.214429617,0.000678563,0.989209414,1.368963003,0.002261288,1.184570789,2.018043995,0.000921957,1.928183198,1.075446844,0.001328036,0.777702212,2.973388672,0.001654639,2.91327548,1.664515257,0.001131925,1.856723785,0.001329402,-1.271177888,-0.910687685
29,0.629107594,0.198015049,0.414477229,-1.759979606,0.845558226,1.481243134,1.329176903,0.000720121,1.328914642,1.258482099,0.002256289,1.037785292,2.158197641,0.000892769,2.23825407,1.126740217,0.001580946,0.954015017,2.494888783,0.001929107,2.32627821,1.47745955,0.001453919,1.466235876,0.001472189,-1.266097069,-0.908361018
